,MALE,FEMALE,INTERSEX,TOTAL,# OF HSEHOLDS,AVG HSEHOLD SIZE,Land Area (Sq. Km),Population Density (No. per Sq. Km),County,Subcounty
301,71237,79082,1,150320,35553,4.2,326.7,460,KISUMU,Nyakach
302,55756,61681,2,117439,29318,4.0,182.0,645,HOMA BAY,Homa Bay
303,103706,114422,8,218136,48062,4.5,713.5,306,HOMA BAY,Ndhiwa
304,85409,93273,4,178686,41809,4.3,435.4,410,HOMA BAY,Rachuonyo North
305,57709,64111,2,121822,27319,4.4,250.9,486,HOMA BAY,Rachuonyo East
306,61663,69151,0,130814,30990,4.2,256.1,511,HOMA BAY,Rachuonyo South
307,55404,62325,3,117732,27003,4.3,274.1,429,HOMA BAY,Rangwe
308,60530,64406,2,124938,29766,4.2,406.3,307,HOMA BAY,Suba North
309,59383,62998,2,122383,27769,4.4,634.1,193,HOMA BAY,Suba South
310,56348,60939,3,117290,27033,4.3,255.3,459,MIGORI,Awendo
311,46969,49894,9,96872,17363,5.6,187.6,516,MIGORI,Kuria East
312,101090,107417,6,208513,39781,5.2,395.7,527,MIGORI,Kuria West
313,83989,92164,9,176162,40257,4.4,676.9,260,MIGORI,Nyatike
314,59257,65329,1,124587,29087,4.3,213.4,584,MIGORI,Rongo
315,58977,63694,3,122674,27302,4.4,205.1,598,MIGORI,Suna East
316,61430,67459,1,128890,29251,4.3,287.5,448,MIGORI,Suna West
317,68127,73318,3,141448,30094,4.7,392.1,361,MIGORI,Uriri
318,40137,43647,3,83787,18610,4.5,108.4,773,KISII,Etago
319,39631,44108,1,83740,19657,4.2,82.1,1020,KISII,Gucha
320,40022,43598,3,83623,19732,4.2,94.9,881,KISII,Gucha South
321,62859,68878,3,131740,30989,4.2,141.7,930,KISII,Kenyenya
322,81330,85573,3,166906,44311,3.7,135.8,1229,KISII,Kisii Central
323,64514,70615,5,135134,31696,4.3,128.3,1054,KISII,Kisii South
324,74608,79561,6,154175,41271,3.7,100.3,1537,KISII,Kitutu Central
325,50598,56864,2,107464,26186,4.1,128.4,837,KISII,Marani
326,58143,64248,5,122396,29232,4.2,161.2,759,KISII,Masaba South
327,62113,68782,3,130898,30712,4.3,162.7,805,KISII,Nyamache
328,31829,35164,4,66997,15658,4.3,79.1,847,KISII,Sameta
329,36736,36431,0,73167,19468,3.7,246.9,296,NYAMIRA,Borabu
330,44868,49339,2,94209,23869,3.9,111.5,845,NYAMIRA,Manga
331,52884,58974,2,111860,27913,4.0,141.7,789,NYAMIRA,Masaba North
332,80314,86947,6,167267,40446,4.1,215.7,775,NYAMIRA,Nyamira North
333,76105,82965,3,159073,38973,4.1,181.5,876,NYAMIRA,Nyamira South
334,217651,216526,31,434208,155089,2.8,29.1,14908,NAIROBI,Dagoretti
335,492476,496270,62,988808,347955,2.8,86.3,11460,NAIROBI,Embakasi
336,136670,131599,7,268276,84365,3.1,10.5,25455,NAIROBI,Kamukunji
337,381234,399385,37,780656,271290,2.8,86.2,9058,NAIROBI,Kasarani
338,94199,91569,9,185777,61690,2.9,12.1,15311,NAIROBI,Kibra
339,96698,100774,17,197489,62239,3.1,216.8,911,NAIROBI,Langata
340,96369,93157,10,189536,70361,2.7,11.7,16150,NAIROBI,Makadara
341,106522,100028,14,206564,74967,2.7,3.0,68941,NAIROBI,Mathare
342,307642,318809,31,626482,204563,3.0,129.9,4821,NAIROBI,Njiru
343,109173,101238,12,210423,69389,2.8,20.6,10205,NAIROBI,Starehe
344,153818,155021,15,308854,104980,2.9,97.5,3167,NAIROBI,Westlands
